,18,17,50,19,52,54,20,21,22,25,24,23,8,26,27,29,30,28,11,31,10,9,5,4,7,12,32,33,13,15,14,34,16,35,36,38,37,39,40,41,49,51,53
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,11,0,0,6,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,12,11,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,11,0,11,11,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,12,11,11,11
25,10,5,0,10,0,0,10,10,5,10,5,10,10,5,10,0,0,10,10,10,10,10,0,10,10,10,5,10,5,10,10,10,10,10,10,0,10,10,0,0,0,0,0
26,0,5,0,10,0,0,10,10,10,10,10,10,0,10,10,0,0,10,5,5,5,10,0,0,5,10,10,10,5,5,5,10,5,5,10,0,10,10,0,0,0,0,0
27,10,0,0,10,0,0,10,5,5,10,0,10,5,10,10,0,0,5,10,5,5,5,0,0,10,5,5,10,5,5,5,10,10,10,10,0,10,5,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
